date,actual,predicted
2023-10-22,59,61.34223
2023-10-23,43,37.201912
2023-10-24,52,51.44611
2023-10-25,43,43.40754
2023-10-26,48,50.263012
2023-10-27,71,70.579605
2023-10-28,69,72.82448
2023-10-29,62,63.186474
2023-10-30,36,36.545692
2023-10-31,45,44.61406
2023-11-01,55,53.227623
2023-11-02,52,50.229023
2023-11-03,55,55.689083
2023-11-04,89,81.52748
2023-11-05,68,65.232544
2023-11-06,46,46.140877
2023-11-07,30,33.108807
2023-11-08,52,48.7552
2023-11-09,58,57.744312
2023-11-10,61,60.335426
2023-11-11,94,85.30486
2023-11-12,56,55.744602
2023-11-13,43,41.100258
2023-11-14,43,43.682835
2023-11-15,58,54.6428
2023-11-16,58,59.556805
2023-11-17,57,59.56595
2023-11-18,66,67.20079
2023-11-19,57,60.725292
2023-11-20,45,41.229053
2023-11-21,36,37.97276
2023-11-22,50,49.442154
2023-11-23,55,53.898693
2023-11-24,61,60.24811
2023-11-25,85,82.33403
2023-11-26,59,65.35687
2023-11-27,41,39.78436
2023-11-28,43,43.15036
2023-11-29,45,44.342583
2023-11-30,42,44.60525
2023-12-01,66,62.928944
2023-12-02,71,66.16017
2023-12-03,67,65.62657
2023-12-04,41,43.14971
2023-12-05,38,39.67664
2023-12-06,45,45.429817
2023-12-07,62,62.15809
2023-12-08,57,55.294075
2023-12-09,74,75.890465
2023-12-10,53,54.767155
2023-12-11,39,37.14178
2023-12-12,45,46.87273
2023-12-13,46,45.20178
2023-12-14,66,63.93092
2023-12-15,60,57.98366
2023-12-16,77,78.32614
2023-12-17,66,66.345795
2023-12-18,39,33.005806
2023-12-19,44,47.846996
2023-12-20,55,54.039764
2023-12-21,42,45.755424
2023-12-22,62,58.590015
2023-12-23,67,69.31924
2023-12-24,59,64.2602
2023-12-25,103,84.444786
2023-12-26,82,76.77136
2023-12-27,45,45.6246
2023-12-28,58,58.25156
2023-12-29,57,58.292007
2023-12-30,65,69.168755
2023-12-31,61,60.5604
